646,F2RL3 
647,F2R 
648,F3 
649,F5 
650,FA2H 
651,FABP5 
652,FADS1 
653,FAM101B 
654,FAM105A 
655,FAM107A 
656,FAM107B 
657,FAM115C 
658,FAM129A 
659,FAM129B 
660,FAM134B 
661,FAM13A 
662,FAM150B 
663,FAM155A 
664,FAM159B 
665,FAM171A1 
666,FAM198B 
667,FAM20A 
668,FAM20C 
669,FAM222A 
670,FAM43A 
671,FAM49A 
672,FAM81B 
673,FAM84A 
674,FAM84B 
675,FAP 
676,FAT1 
677,FBN1 
678,FBP1 
679,FBXO32 
680,FCER1A 
681,FCER1G 
682,FCGR2A 
683,FCGR3A 
684,FCN3 
685,FDFT1 
686,FEN1 
687,FEV 
688,FFAR4 
689,FGA 
690,FGB 
691,FGD5 
692,FGD6 
693,FGF14 
694,FGF19 
695,FGF2 
696,FGF7 
697,FGFBP1 
698,FGFR2 
699,FGG 
700,FGL1 
701,FGL2 
702,FHL2 
703,FHOD1 
704,FHOD3 
705,FIBIN 
706,FILIP1L 
707,FJX1 
708,FKBP10 
709,FKBP11 
710,FKBP9L 
711,FLI1 
712,FLJ42709 
713,FLNA 
714,FLRT2 
715,FLRT3 
716,FLT1 
717,FLT4 
718,FMNL2 
719,FMNL3 
720,FMOD 
721,FN1 
722,FNDC4 
723,FNIP2 
724,FOLR1 
725,FOSB 
726,FOSL2 
727,FOS 
728,FOXC1 
729,FOXF1 
730,FOXF2 
731,FOXP2 
732,FOXQ1 
733,FPR3 
734,FRAS1 
735,FRMD4A 
736,FRMD6 
737,FRZB 
738,FSCN1 
739,FSIP2 
740,FSTL1 
741,FSTL5 
742,FTH1P3 
743,FUT3 
744,FUT4 
745,FXYD3 
746,FXYD6 
747,FYB 
748,FZD4 
749,G0S2 
750,G6PC2 
751,G6PC 
752,G6PD 
753,GABRA1 
754,GABRG2 
755,GABRP 
756,GAD2 
757,GADD45A 
758,GADD45B 
759,GADD45G 
760,GAL3ST4 
761,GALNT6 
762,GAL 
763,GAP43 
764,GAS7 
765,GATA2 
766,GATA4 
767,GATM 
768,GBP2 
769,GBP3 
770,GBP4 
771,GCLC 
772,GCNT1 
773,GCNT3 
774,GC 
775,GDF15 
776,GEM 
777,GFPT2 
778,GFRA1 
779,GGH 
780,GHRL 
781,GHSR 
782,GIMAP1 
783,GIMAP4 
784,GIMAP7 
785,GIMAP8 
786,GJA1 
787,GJA3 
788,GJB1 
789,GJD3 
790,GKN1 
791,GLI2 
792,GLIPR1 
793,GLIS3 
794,GLRX 
795,GLS 
796,GLT8D2 
797,GLUL 
798,GM2A 
799,GMFG 
800,GMNN 
801,GNG11 
802,GNG4 
803,GNPDA1 
804,GOLM1 
805,GP2 
806,GPC5-AS1 
807,GPC6 
808,GPM6A 
809,GPM6B 
810,GPNMB 
811,GPR110 
812,GPR116 
813,GPR126 
814,GPR146 
815,GPR160 
816,GPR176 
817,GPR4 
818,GPR64 
819,GPR65 
820,GPR98 
821,GPRC5A 
822,GPRC5B 
823,GPSM1 
824,GPX1 
825,GPX2 
826,GPX3 
827,GPX8 
828,GRAMD4 
829,GRB10 
830,GREM1 
831,GREM2 
832,GRIA3 
833,GRIA4 
834,GRIN2A 
835,GRM4 
836,GRP 
837,GSN 
838,GSTA1 
839,GSTA2 
840,GSTM5 
841,GSTP1 
842,GTSE1 
843,GUCY1A2 
844,GULP1 
845,GYPC 
846,H19 
847,H1F0 
848,H1FX 
849,HABP2 
850,HADH 
851,HAND2 
852,HAP1 
853,HAS2 
854,HBEGF 
855,HCK 
856,HCLS1 
857,HDAC7 
858,HDAC9 
859,HEG1 
860,HEPACAM2 
861,HERPUD1 
862,HES1 
863,HES6 
864,HESX1 
865,HEY1 
866,HEYL 
867,HHEX 
868,HHLA2 
869,HIC1 
870,HIF1A 
871,HIST1H1C 
872,HIST1H2BD 
873,HIST1H2BK 
874,HIST2H2BE 
875,HK1 
876,HKDC1 
877,HLA-B 
878,HLA-C 
879,HLA-DMA 
880,HLA-DMB 
881,HLA-DPA1 
882,HLA-DPB1 
883,HLA-DQA1 
884,HLA-DQB1 
885,HLA-DRA 
886,HLA-DRB1 
887,HLA-DRB6 
888,HLA-F 
889,HLX 
890,HMGB3 
891,HMGCS1 
892,HMMR 
893,HMOX1 
894,HMP19 
895,HN1 
896,HNF1B 
897,HNMT 
898,HNRNPU-AS1 
899,HOPX 
900,HOXA5 
901,HOXB2 
902,HOXB6 
903,HPGDS 
904,HPGD 
905,HPN 
906,HRK 
907,HS3ST1 
908,HS3ST2 
909,HS3ST3A1 
910,HS3ST4 
911,HSD11B1 
912,HSD11B2 
913,HSD17B2 
914,HSPA1A 
915,HSPA1B 
916,HSPA5 
917,HSPA6 
918,HSPB1 
919,HSPB6 
920,HSPB8 
921,HSPH1 
922,HTRA1 
923,HTRA3 
924,HYAL1 
925,HYMAI 
926,IAPP 
927,ICAM1 
928,ID1 
929,ID2 
930,ID3 
931,ID4 
932,IDH2 
933,IER2 
